,person_id,age,citizen_status,nativity_status,weekly_hours_worked,total_income,self_employed_income,wage_income,interest_income,other_income,marital_status,school_status,sex,when_last_worked,worked_last_week,language,race_native_american,race_asian,race_black,race_native_hawaiian,race_pacific_islander,race_white,race_other,household_id,Predicted_uninsured,Prediction_prob
0,12,28,citizen_birth,native_born,45,15254.0,15081.0,82.0,16.0,75.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,6,1,0.602623942109098
1,13,40,citizen_birth,native_born,32,10291.0,45.0,9068.0,57.0,1121.0,divorced,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,7,1,0.5079614711374262
2,22,68,citizen_birth,native_born,0,13194.0,80.0,34.0,69.0,13011.0,married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,13,0,0.4099385588270545
3,23,64,citizen_birth,native_born,40,30194.0,33.0,30094.0,37.0,30.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,13,0,0.25487191695610595
4,25,29,citizen_birth,native_born,40,52174.0,12.0,52101.0,52.0,9.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,15,0,0.3995975676343216
5,26,19,citizen_birth,native_born,18,7793.0,42.0,7600.0,77.0,74.0,never_married,public_school,M,in_last_year,worked,English,0,0,0,0,0,1,0,15,1,0.5118341199296628
6,47,81,citizen_birth,native_born,0,22950.0,94.0,70.0,52.0,22734.0,widowed,not_student,F,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,24,0,0.3026128256725529
7,50,49,citizen_birth,native_born,50,128188.0,128074.0,18.0,49.0,47.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,26,0,0.04982275892904265
8,64,62,citizen_birth,native_born,0,32781.0,15.0,87.0,23.0,32656.0,widowed,not_student,F,in_last_five_years,did_not_work,English,0,0,1,0,0,0,0,32,0,0.3656828540920443
9,65,72,citizen_birth,native_born,0,46774.0,20.0,47.0,3272.0,43435.0,widowed,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,33,0,0.22709123327100478
10,66,47,citizen_birth,native_born,0,7877.0,5.0,44.0,91.0,7737.0,never_married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,33,1,0.5453492903494324
11,77,90,citizen_birth,native_born,0,21108.0,44.0,63.0,3819.0,17182.0,separated,not_student,F,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,40,0,0.25679479138865263
12,83,23,citizen_birth,native_born,35,41081.0,6.0,41020.0,15.0,40.0,never_married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,44,0,0.3504924751471441
13,87,71,citizen_birth,native_born,0,13404.0,96.0,32.0,156.0,13120.0,married,not_student,F,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,48,0,0.28381183889228506
14,88,75,citizen_birth,native_born,40,311184.0,63.0,280061.0,55.0,31005.0,married,not_student,M,in_last_year,not_reported,Spanish,0,0,0,0,0,1,0,48,0,0.0011598481449188157
15,95,64,citizen_birth,native_born,0,237.0,52.0,41.0,68.0,76.0,married,not_student,M,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,52,0,0.4923791646339755
16,96,65,citizen_birth,native_born,0,66288.0,58.0,94.0,1047.0,65089.0,married,not_student,F,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,52,0,0.12106594796949427
17,97,58,citizen_birth,native_born,40,97286.0,83.0,97076.0,49.0,78.0,married,not_student,M,in_last_year,worked,English,0,0,1,0,0,0,0,53,0,0.15660202190029526
18,98,55,citizen_birth,native_born,35,14153.0,1.0,14014.0,51.0,87.0,married,not_student,F,in_last_year,worked,English,0,0,1,0,0,0,0,53,0,0.40536118530279946
19,100,48,citizen_birth,native_born,50,2249.0,2044.0,85.0,31.0,89.0,divorced,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,55,1,0.5371780408326547
20,110,55,citizen_birth,native_born,40,8154.0,5.0,8058.0,54.0,37.0,divorced,not_student,M,in_last_year,did_not_work,English,0,0,0,0,0,1,0,60,0,0.474126972021364
21,111,49,citizen_birth,native_born,40,34239.0,55.0,27063.0,62.0,7059.0,divorced,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,61,0,0.24991119202607512
22,112,46,citizen_birth,native_born,40,60233.0,91.0,60005.0,84.0,53.0,divorced,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,61,0,0.2493734974822405
23,120,52,citizen_birth,native_born,30,29125.0,4.0,29040.0,74.0,7.0,never_married,not_student,F,in_last_year,worked,English,0,0,1,0,0,0,0,65,0,0.36934809872302976
24,126,59,citizen_birth,native_born,45,58283.0,80.0,58006.0,100.0,97.0,married,not_student,M,in_last_year,worked,German,0,0,0,0,0,1,0,69,0,0.25377264148633516
25,127,58,citizen_birth,native_born,40,60231.0,94.0,60045.0,15.0,77.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,69,0,0.16279927841619735
26,136,39,citizen_birth,native_born,55,67220.0,56.0,67099.0,7.0,58.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,72,0,0.18487509027194565
27,137,44,noncitizen,foreign_born,40,38229.0,34.0,38051.0,80.0,64.0,married,not_student,M,in_last_year,not_reported,Spanish,0,0,0,0,0,1,0,72,1,0.9002049472628555
28,150,40,citizen_naturalized,foreign_born,0,248.0,57.0,11.0,100.0,80.0,married,not_student,F,over_five_years_ago,did_not_work,Polish,0,0,0,0,0,1,0,78,1,0.7520660968626025
29,151,39,citizen_naturalized,foreign_born,35,88180.0,15.0,88081.0,41.0,43.0,married,not_student,M,in_last_year,worked,Polish,0,0,0,0,0,1,0,78,0,0.46243648699171286
30,157,60,citizen_birth,native_born,10,16516.0,16318.0,26.0,89.0,83.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,80,0,0.30735401646085747
